"Diện tích","Hướng ban công","Hướng nhà","Mặt tiền","Mức giá","Nội thất","Pháp lý","Số phòng ngủ","Số phòng tắm, vệ sinh","Số tầng","url","Đường vào"
"80 m²",,,,"6,9 tỷ",,,"2 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-minh-khai-phuong-minh-khai-prj-hinode-city/ban-gap-2-ngu-80m2-full-do-dep-view-thoang-mat-gia-re-nhat-thi-truong-chi-6-5-ty-pr41718929",
"180 m²",,,,"31,9 tỷ",,,,,,"https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-nguyen-xien-phuong-long-thanh-my-prj-the-manhattan-vinhomes-grand-park/hang-hiem-180m2-can-goc-truc-m1-gia-31-9-ty-ngay-cong-vao-vinwonder-hang-doc-quyen-pr42508760",
"102 m²",,,,"4,8 tỷ","Đầy đủ","Hợp đồng mua bán","3 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-huu-canh-phuong-nguyen-an-ninh-prj-vung-tau-centre-point/so-so-3pn-102m2-gia-tot-tu-4-8-ty-lh-pr41537786",
"48,8 m²",,,"7 m","2,65 tỷ",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-dat-xa-van-binh-1/ban-thuong-tin-ha-noi-2-65-ty-48-8-m2-o-to-vao-sat-nha-200m-ra-cho-600m-ra-ql1a-pr42495819",
"55 m²",,,,"2,75 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","1 phòng","1 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-do-xuan-hop-phuong-phuoc-long-b-prj-fuji-residence/-ban-gap-flora-55m2-1-1pn-1wc-full-noi-that-dinh-tuong-gia-chi-2-ty-350-bot-loc-pr41866221",
"200 m²",,"Đông - Nam","9 m","9,2 tỷ",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-dat-nen-du-an-duong-nguyen-quy-anh-phuong-hoa-hai-prj-khu-do-thi-phu-my-an/lo-goc-2-mat-tien-va-vung-trung-16-ngu-h-son-da-nang-pr42575628","7,5 m"
"50 m²",,,,"9,8 tỷ",,"Sổ đỏ/ Sổ hồng","9 phòng","5 phòng","6 tầng","https://batdongsan.com.vn/ban-nha-rieng-duong-32-xa-kim-chung-1/ban-moi-hoan-thien-hien-dai-thiet-ke-hop-ly-50m2-x6-tang-co-thang-may-tai-lai-chung-pr42184765",
"418 m²",,,,"5,2 tỷ",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-dat-duong-490-xa-pham-van-coi/ban-cu-chi-nha-mat-tien-490-dien-tich-10mx41m-tong-418m2-coi-pr42469385",
"78 m²","Bắc","Nam",,"6,1 tỷ","Cơ bản","Hợp đồng mua bán","2 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-mo-lao-prj-thap-doi-kepler-land/nhan-booking-quy-dep-nhat-ha-dong-lien-he-pr42575553",
"188 m²",,,"7,8 m","3,3 tỷ",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-dat-duong-dt-328-xa-phuoc-thuan/ban-nen-ho-tram-188m2-ngang-7-8m-co-tho-cu-328-gia-2-8-ty-lh-pr40997020",
"40 m²",,,"4 m","5,2 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","4 phòng","3 phòng","4 tầng","https://batdongsan.com.vn/ban-nha-rieng-duong-y-la-phuong-duong-noi/chinh-chu-ban-moi-xa-4-tang-dt-40m-gia-5-2t-pr42490902","10 m"
"50 m²",,,,"11,5 tỷ","Cơ bản","Sổ đỏ/ Sổ hồng","7 phòng","7 phòng","6 tầng","https://batdongsan.com.vn/ban-nha-rieng-duong-lac-long-quan-phuong-nghia-do-1/chinh-chu-ban-phan-lo-o-to-so-19b-ngo-175-42-50m2-6-tang-thang-may-11-5-ty-pr42575554","4 m"
"87 m²",,,,"3,6 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","2 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-huu-tho-xa-phuoc-kieng-prj-dragon-city/ban-hill-thiet-ke-2pn-gia-cuc-tot-nha-cuc-dep-lh-pr41935413",
"107 m²",,,,"6 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","3 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-mo-lao-prj-chung-cu-booyoung/chinh-chu-ban-cc-booyoong-ha-dong-day-du-tien-nghi-dep-long-lanh-dt-107m2-gia-6ty-pr42565613",
"100 m²",,,,"4 tỷ","Cơ bản","Sổ đỏ/ Sổ hồng","3 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-huu-tho-xa-phuoc-kieng-prj-dragon-hill-residence-and-suites-2/ban-thiet-ke-3pn-gia-ban-4-ty-view-pmh-lh-pr42472306",
"41 m²",,,,"4 tỷ",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-dat-duong-lien-mac-phuong-lien-mac/ban-3-manh-tho-cu-dien-tich-nhinh-40m2-tai-gan-truc-tay-ho-tay-10-lan-xe-pr40911332",
"120 m²",,,"6,2 m","17 tỷ",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-dat-duong-nguyen-mau-tai-thi-tran-trau-quy/ban-nhanh-dinh-cu-view-vuon-hoa-trung-tam-dt-84m-mt-5-3m-phan-lo-thoang-pr38358126","12 m"
"59 m²",,,"6 m","5,8 tỷ",,,"4 phòng","4 phòng","4 tầng","https://batdongsan.com.vn/ban-nha-rieng-duong-38-1-phuong-hiep-binh-chanh/re-nhat-khu-vuc-thu-duc-khu-phan-lo-4-tang-4-pn-59m2-nhinh-5-ty-pr42540238","10 m"
"74 m²",,"Đông - Bắc",,"4,35 tỷ","Cơ bản","Hợp đồng mua bán","2 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-long-binh-3-prj-lumiere-boulevard/ban-gap-2pn-2wc-gia-tot-4-4-ty-view-truc-dien-boi-masteri-vinmes-grand-park-q9-pr42336379",
"76 m²",,,,"4,25 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","3 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-quang-trung-phuong-quang-trung-17-prj-flc-star-tower/ban-cc-ha-dong-day-du-tien-nghi-dep-long-lanh-dt-76m2-gia-hap-dan-4-25ty-pr42566083",
"57 m²",,,,"2,4 tỷ","Đầy đủ.","Sổ đỏ/ Sổ hồng","2 phòng","2 phòng","2 tầng","https://batdongsan.com.vn/ban-nha-rieng-duong-dx-065-phuong-dinh-hoa/-tret-lau-065-gan-trung-tam-tp-moi-binh-chi-2-4-ty-pr41780370",
"1.462 m²",,,"15,2 m","9 tỷ",,,,,,"https://batdongsan.com.vn/ban-dat-duong-nhuan-duc-xa-nhuan-duc/ban-lo-mat-tien-chinh-huyen-cu-chi-ho-chi-minh-pr42462970",
"144 m²",,,,"Thỏa thuận",,,,,,"https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-nguyen-xien-phuong-long-thanh-my-prj-the-manhattan-glory-vinhomes-grand-park/ban-lo-144m2-gia-18-ty-bao-het-da-hoan-thien-co-thang-may-gia-goc-gan-23-ty-pr39445074",
"97 m²",,,,"7,45 tỷ",,"Sổ đỏ/ Sổ hồng","3 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-my-dinh-1/ban-3pn-2wc-tai-1-nam-tu-liem-ha-noi-gia-tot-7-45-ty-pr42575668",
"325 m²",,,,"Thỏa thuận","Bàn giao nội thất cơ bản từ CĐT.","Hợp đồng mua bán","4 phòng","4 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-so-60-tml-phuong-thanh-my-loi-prj-can-ho-define/ban-4pn-325m2-dac-biet-tran-cao-4-3m-view-ng-va-tang-cao-nvn-hay-nnn-deu-huu-duoc-pr41576542",
"250 m²",,,"6 m","380 triệu",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-dat-xa-tu-tra/chi-con-vai-lo-gia-re-cho-anh-chi-em-tich-luy-hoac-lam-can-nha-nho-nghi-duong-pr42040156","7 m"
"103 m²",,,,"5,5 tỷ","Full nội thất cao cấp.",,"3 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dai-tu-phuong-dai-kim-prj-eco-lake-view/ban-goc-3-ngu-tai-32-so-do-san-full-do-dep-dep-gia-chi-5-5-ty-pr41718731",
"46 m²","Nam","Bắc",,"3,8 tỷ","Cơ bản","Hợp đồng mua bán","1 phòng","1 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-mo-lao-prj-thap-doi-kepler-land/ban-1pn-46m-tai-lan-ha-dong-lien-he-pr42575586",
"570 m²",,,,"Thỏa thuận","Cơ bản","Hợp đồng mua bán","5 phòng","5 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-so-60-tml-phuong-thanh-my-loi-prj-can-ho-define/sieu-pham-penthouse-528m2-ban-tai-lh-truc-tiep-mr-phu-de-nhan-bao-gia-pr41576688",
"112 m²","Tây - Nam","Đông",,"6,7 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","3 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tan-phong-9-prj-phu-my-hung/-ban-nhanh-nhieu-cao-cap-tai-quan-7-hcm-pr35454550",
"100 m²","Bắc","Bắc","5 m","7 tỷ","Không nội thất","Sổ đỏ/ Sổ hồng","4 phòng","5 phòng","3 tầng","https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-huu-nghi-phuong-phu-chan-prj-centa-riverside/mo-ban-dot-moi-tai-khu-do-thi-vsip-bac-ninh-co-hoi-dau-tu-top-1-vung-do-pr42524814","15 m"
"80 m²",,,,"4 tỷ","Full đồ đẹp.","Sổ đỏ","2 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dai-tu-phuong-dai-kim-prj-eco-lake-view/ban-gap-2-ngu-tai-80m2-full-do-dep-so-do-san-gia-tot-nhat-thi-truong-chi-4-ty-pr41718685",
"220 m²",,,,"30,5 tỷ","Cơ bản","Hợp đồng mua bán","3 phòng","4 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-so-60-tml-phuong-thanh-my-loi-prj-can-ho-define/hot-sieu-pham-duy-nhat-3-phong-220m2-tang-cao-tren-20-gia-ban-30-5-ty-all-in-pr42490672",
"176 m²",,"Tây - Nam",,"22,5 tỷ",,,,,,"https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-nguyen-xien-phuong-long-thanh-my-prj-the-manhattan-vinhomes-grand-park/-pho-176m2-m4-khu-glory-sau-lung-nxlp-gia-22-ty-bao-re-nhat-thi-truong-lo-hon-4-ty-pr41026260",
"135 m²","Nam","Bắc",,"8,5 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","3 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-van-linh-phuong-tan-phong-9-prj-happy-valley/ban-lo-phu-my-hung-dt-82m2-135m2-gia-4-2-ty-5-8-ty-lh-0842-111-678-em-diu-pr36759637",
"54,6 m²",,,"3,65 m","4,15 tỷ",,"Sổ đỏ/ Sổ hồng","4 phòng","4 phòng","3 tầng","https://batdongsan.com.vn/ban-nha-rieng-duong-chien-thang-phuong-9-12/gia-4-ty-150-ngop-tien-ban-gap-phu-nhuan-gan-cho-nguyen-dinh-chieu-pr42238724","5 m"
"102 m²",,,"8 m","1,5 tỷ",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-dat-xa-tan-thanh-tay/chinh-chu-ket-can-ban-gap-lo-2-mat-tien-duong-nhua-so-hong-rieng-102m2-gia-chi-1ty5-pr42401845","12 m"
"136 m²",,,"11 m","7 tỷ",,"Sổ đỏ/ Sổ hồng","3 phòng","1 phòng","1 tầng","https://batdongsan.com.vn/ban-nha-rieng-duong-ho-ba-phan-phuong-phuoc-long-b/mat-tien-kd-tay-hoa-thu-duc-dong-tien-17tr-th-dt-136m2-ngang-11-m-xe-tai-thong-7-ty-pr42259818","6 m"
"73 m²",,,,"4 tỷ",,,"2 phòng",,,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-pham-hung-phuong-my-dinh-2-prj-flc-complex-36-pham-hung/gap-qua-roi-ban-2-ngu-tai-36-4-ty-full-noi-that-dt-73m2-so-do-san-pr42490132",
"100 m²",,,"6 m","550 triệu",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-dat-duong-nguyen-van-xo-thi-tran-cu-chi/c-pham-lo-vi-tri-dep-100m2-ngay-trung-tam-hoa-gia-550-trieu-pr42569378",
"62 m²",,,,"2,17 tỷ",,"Sổ đỏ/ Sổ hồng","2 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-go-dua-phuong-hiep-binh-phuoc-prj-sunview-town/-ban-ch-2pn-da-co-so-hong-san-voi-muc-gia-2-ty-xem-nha-mien-phi-pr42507540",
"106 m²",,,,"6,8 tỷ",,,"3 phòng",,,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-pham-hung-phuong-my-dinh-2-prj-flc-complex-36-pham-hung/rat-tien-gap-ban-3-ngu-tai-36-chi-6-8-ty-dt-106-m2-full-noi-that-pr42490185",
"118 m²","Nam","Đông - Bắc",,"8,6 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","3 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-duc-canh-phuong-tan-phong-9-prj-grand-view/chuyen-ban-chcc-phu-my-hung-quan-7-3pn-nha-dep-gia-tot-lh-em-diu-pr40851860",
"135 m²",,,"5 m","28 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","24 phòng","25 phòng","8 tầng","https://batdongsan.com.vn/ban-nha-rieng-duong-xuan-la-phuong-xuan-la/qua-ngon-tay-ho-135m2-8-tang-dong-tien-kd-o-to-gan-ho-tay-chi-28-ty-pr42167923","5 m"
"50 m²",,,,"1,5 tỷ","Cơ bản","Sổ đỏ/ Sổ hồng","2 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-bui-huu-nghia-phuong-tan-van/du-an-sieu-t-ngay-trung-tam-tp-bien-a-chi-1ty050-pr42574418",
"1.660 m²",,,"28 m","36,5 tỷ",,,,,,"https://batdongsan.com.vn/ban-dat-duong-huynh-thuc-khang-phuong-mui-ne/chinh-chu-ban-1-660m2-mat-bien-va-mt-150m2-tho-gia-49-ty-pr39879506",
"74 m²",,,,"Thỏa thuận","Full đồ đẹp.","Sổ đỏ","2 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-ngoc-hoi-phuong-hoang-liet-prj-rose-town-79-ngoc-hoi/ban-gap-2-ngu-79-full-do-dep-nha-lam-de-o-view-thoang-gia-chi-3-8-ty-pr41718852",
"67,4 m²","Bắc","Đông",,"3,5 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","2 phòng","1 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-phan-xich-long-phuong-7-11-prj-chung-cu-phan-xich-long/ban-khu-7-phu-nhuan-67-5m2-2pn-1wc-gia-3-5-ty-tl-pr42479323",
"91 m²",,,,"11,5 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","5 phòng","4 phòng","3 tầng","https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-truong-chinh-phuong-tan-hung-thuan-1/ban-goc-2-mat-tien-7m-thong-7x13-11-ty-500-pr42575771","7 m"
"140 m²",,"Đông - Nam","7 m","Thỏa thuận",,"Sổ đỏ/sổ hồng.",,,,"https://batdongsan.com.vn/ban-dat-nen-du-an-duong-tinh-lo-8-xa-duc-lap-thuong-prj-khu-do-thi-daresco/b-re-nhat-140m2-tho-cu-so-s-gia-chi-1ty150-lh-pr40533102","12 m"
"68 m²",,,,"3,15 tỷ","Không nội thất","Sổ đỏ/ Sổ hồng","2 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-ta-quang-buu-phuong-6-10-prj-tara-residence/-tro-vay-70-sang-nhuong-3pn-2wc-90m2-p6-q8-pr42131945",
"80 m²",,,,"4,5 tỷ",,,,,,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tan-mai-phuong-tuong-mai-prj-khu-nha-o-quan-doi-k35-tan-mai/-moi-ban-2-ngu-full-do-dep-gia-4-5-ty-dt-80m2-so-do-san-tro-bank-70-pr42228888",
"120 m²",,"Đông - Nam","6 m","4,8 tỷ",,"Hợp đồng mua bán",,,"4 tầng","https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-tan-an-prj-ecocity-premia/can-duy-nhat-120m2-chi-4-ty-xxx-pr42265403","18 m"
"147 m²",,,"7 m","69 tỷ",,"Sổ đỏ/ Sổ hồng",,,"7 tầng","https://batdongsan.com.vn/ban-nha-mat-pho-duong-tran-hung-dao-phuong-pham-ngu-lao-1/sieu-hot-ban-mt-quan-1-ham-7-tang-hdt-160-trieu-thang-dt-7x21m-69-ty-pr42468662",
"60 m²","Đông - Nam","Bắc",,"Thỏa thuận","Đầy đủ","Sổ đỏ/ Sổ hồng","2 phòng","1 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-duy-trinh-phuong-binh-trung-dong-prj-thu-thiem-xanh/ban-nhanh-3pn-2wc-90-4m2-p-quan-2-gia-3ty5-pr41869549",
"90 m²",,,,"3,6 tỷ","Không nội thất","Đang chờ sổ","3 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-ta-quang-buu-phuong-6-10-prj-tara-residence/-p6-q8-sang-nhuong-1pn-1wc-57m2-vay-bank-70-pr42139181",
"100 m²",,"Đông - Nam","5 m","1,9 tỷ",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-dat-nen-du-an-xa-thanh-phu-prj-king-hill-residences/05-suat-noi-bo-cdt-chiet-khau-15-gia-ban-so-hong-rieng-ngan-hang-ho-tro-vay-70-lh-pr40045464","16 m"
"138 m²","Nam","Bắc",,"13 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","3 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-duc-canh-phuong-tan-phong-9-prj-riverpark-residence/ban-nhanh-nhieu-ch-phu-my-hung-lh-em-diu-de-duoc-tot-nhat-pr42197397",
"76 m²",,,,"8,1 tỷ","Cơ bản","Sổ đỏ/ Sổ hồng","6 phòng","5 phòng","5 tầng","https://batdongsan.com.vn/ban-nha-rieng-duong-bui-huu-nghia-phuong-2-20/-5-tang-hem-xe-hoi-binh-thanh-chi-8-1-ty-pr42458201",
"81 m²",,,,"3,45 tỷ","Cơ bản","Sổ đỏ/ Sổ hồng","2 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-ta-quang-buu-phuong-6-10-prj-tara-residence/ban-2pn-2wc-80m2-quan-8-tro-vay-gia-3-45-ty-pr42327038",
"204 m²",,,,"90 tỷ",,,,,"8 tầng","https://batdongsan.com.vn/ban-nha-mat-pho-duong-cong-hoa-phuong-13-10/ban-toa-building-goc-3-tien-p13-tan-binh-dt-8-5x24m-ham-8-lau-gia-chi-90-ty-pr36978877",
"50 m²",,,"4,6 m","18,5 tỷ",,"Sổ đỏ/ Sổ hồng","5 phòng","4 phòng","5 tầng","https://batdongsan.com.vn/ban-nha-rieng-pho-pham-tuan-tai-phuong-dich-vong-hau/-51m2-x-5t-o-to-tranh-kd-gia-18-4-ty-pr42425586","6,6 m"
"65 m²",,,"10 m","10 tỷ",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-dat-thi-tran-tram-troi/manh-phan-lo-trung-tam-vip-bac-nhat-tt-hoai-duc-65m-10-ty-pr42575673",
"58 m²",,,"6 m","1,85 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","4 phòng","4 phòng","4 tầng","https://batdongsan.com.vn/ban-nha-rieng-duong-to-ngoc-van-phuong-thanh-xuan/duy-t-can-58m2-gia-1ty750-trieu-quan-12-so-hong-rieng-pr42272117","6 m"
"76,5 m²","Đông - Nam","Đông - Nam","8 m","9,5 tỷ",,"Sổ đỏ/ Sổ hồng","7 phòng","8 phòng","6 tầng","https://batdongsan.com.vn/ban-nha-mat-pho-duong-so-8-phuong-an-lac-6/ban-tien-6-tang-dien-tich-ngan-4-met-dai-18-met-gia-9-ty-500-thuong-luong-pr42575674","8 m"
"52 m²",,,"4 m","2,15 tỷ","Đầy đủ.","Sổ đỏ/ Sổ hồng.","4 phòng","4 phòng","4 tầng","https://batdongsan.com.vn/ban-nha-rieng-duong-le-lai-phuong-3-20/sieu-pham-dep-52m2-gia-1ty950-trieu-p3-quan-go-vap-dang-cho-thue-15tr-thang-pr42188368","5 m"
"85 m²","Đông - Bắc","Đông - Bắc","4,5 m","3,2 tỷ","Cơ bản","Sổ đỏ/ Sổ hồng","2 phòng","2 phòng",,"https://batdongsan.com.vn/ban-nha-rieng-duong-pham-van-dong-phuong-vinh-hoa-2/ban-2-tang-hem-o-to-trang-85m2-gia-3-2-ti-cach-bien-200m-pr42575675","4 m"
"481 m²",,,"18 m","94 tỷ","Nội thất cao cấp.","Sổ đỏ/ Sổ hồng",,,"3 tầng","https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-van-huong-phuong-thao-dien/hot-ban-biet-thu-hien-dai-dep-khu-215-q2-dt-18x27m-t2l-ho-boi-94-ty-pr42531673",
