"Diện tích","Hướng ban công","Hướng nhà","Mặt tiền","Mức giá","Nội thất","Pháp lý","Số phòng ngủ","Số phòng tắm, vệ sinh","Số tầng","url","Đường vào"
"40 m²",,,"7 m","13 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","5 phòng","6 phòng","7 tầng","https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-van-khoi-phuong-11-8/hoa-hong-150tr-ban-tien-p11-go-vap-13-ty-pr42567363","15 m"
"90 m²",,,"6 m","23,5 tỷ","Full nội thất","Sổ đỏ/ Sổ hồng","5 phòng",,"6 tầng","https://batdongsan.com.vn/ban-nha-mat-pho-duong-duc-giang-phuong-duc-giang-2/cuc-hot-long-bien-dt-90m2x6t-mt-6m-via-he-da-bong-ha-soc-con-23-5-ty-pr42419583","13,5 m"
"360 m²",,"Đông - Nam","20 m","120 tỷ",,"Sổ đỏ/ Sổ hồng","5 phòng","4 phòng",,"https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-tan-phu-19-prj-my-phu-1/ban-don-lap-1-can-goc-2-mat-tien-dt-22-75-16m-gia-120-ty-so-hong-pr42464746","20 m"
"30 m²",,,,"5,38 tỷ",,"Sổ đỏ/ Sổ hồng","4 phòng","3 phòng","4 tầng","https://batdongsan.com.vn/ban-nha-rieng-phuong-kham-thien/nhinh-5-ty-co-ngay-1-can-cuc-dep-30m2-pho-thien-pr42466086",
"145 m²",,,,"14,5 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","3 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-hoang-minh-giam-phuong-trung-hoa-4-prj-mandarin-garden/ban-114m2-ang-cau-giay-ha-noi-pr35114404",
"130 m²",,,,"6,7 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","3 phòng","3 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-pham-van-nghi-phuong-tan-phong-9-prj-sky-garden-i/co-1-0-2-ban-nhanh-duplex-nha-dep-moi-100-lh-em-hang-pr42501231",
"168 m²",,,"7 m","10 tỷ",,,,,,"https://batdongsan.com.vn/ban-dat-duong-hoang-dieu-2-phuong-linh-trung/nhinh-50-tr-m2-nha-nat-168m2-ngang-7m-rat-kho-kiem-gan-dh-ngan-hang-2-thong-xe-hoi-pr42435144","6 m"
"81 m²","Đông - Nam","Tây - Bắc",,"7,7 tỷ","Đầy đủ","Hợp đồng mua bán","2 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tan-phu-19-prj-the-peak/-duy-nhat-ban-lo-tai-midtown-my-hung-119m2-tk-3pn-2wc-tang-cao-view-tang-pr39749810",
"107,5 m²","Nam","Đông - Bắc",,"7 tỷ",,"Sổ đỏ/ Sổ hồng","3 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-thanh-thai-phuong-dich-vong-prj-khu-do-thi-moi-dich-vong/-ban-goc-3-ngu-o-n07-107-5m-gia-7-ty-pr42465640",
"116 m²","Đông - Nam","Tây - Bắc",,"9,9 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","3 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-hoang-dao-thuy-phuong-trung-hoa-4-prj-khu-do-thi-trung-hoa-nhan-chinh/ang-3333-gia-that-ban-tai-ang-9-9-ty-116m2-gia-uu-dai-chu-pr42566826",
"90 m²",,,"5 m","Thỏa thuận",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-dat-duong-vuon-lai-phuong-an-phu-dong-1/b-90m2-mt-qu-12-gia-2-7-ty-so-rieng-ngay-cho-pr42567567","8 m"
"200 m²",,"Nam",,"46 triệu/m²",,"HĐMB + Ký quỹ 200 triệu - Có sổ đỏ đất công ty.",,,,"https://batdongsan.com.vn/ban-dat-nen-du-an-duong-huynh-tan-phat-xa-phu-xuan-prj-kdc-phu-xuan-van-phat-hung/ban-lo-biet-thu-song-lap-10x20m-huong-nam-vuong-vuc-xay-dung-2-tang-so-do-pr41468793",
"167 m²","Đông","Đông","8,1 m","55 tỷ","Cơ bản","Sổ đỏ/ Sổ hồng","10 phòng","10 phòng","7 tầng","https://batdongsan.com.vn/ban-nha-mat-pho-duong-lac-long-quan-phuong-10-10/ts-that-ve-gia-ban-7-tang-tien-p10-tan-binh-dt-8-1x21m-gia-55-ty-pr42266844","20 m"
"80 m²",,,"5 m","16,9 tỷ","Đầy đủ nội thất trong nhà cơ bản đầy đủ như (Điều hoà âm trần, giường tủ quần áo, bàn ăn, sô pha phòng khách, bếp ga, hút mùi.","Sổ đỏ/ Sổ hồng.","4 phòng","3 phòng","4 tầng","https://batdongsan.com.vn/ban-nha-rieng-duong-ngoc-thuy-phuong-ngoc-thuy/ban-long-bien-moi-xay-dt-80m2-4tang-gara-2-oto-thang-may-kinh-doanh-pr40858515",
"31 m²",,,,"6,7 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","3 phòng","3 phòng","4 tầng","https://batdongsan.com.vn/ban-nha-rieng-duong-thinh-quang-phuong-thinh-quang/-dep-nhu-anh-30m2-dong-da-pr42176359",
"80 m²",,,,"21 tỷ",,"Sổ đỏ/ Sổ hồng",,,"5 tầng","https://batdongsan.com.vn/ban-nha-rieng-pho-trung-kinh-phuong-yen-hoa-2/chinh-chu-ban-phan-lo-o-to-tranh-thang-may-via-he-rong-full-noi-that-80m-5t-pr42566875","7 m"
"125 m²",,,,"1,52 tỷ",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-dat-xa-huu-thanh/chinh-chu-can-ban-gap-lo-thich-hop-xay-tro-125m2-gia-1520-bao-sang-ten-cong-chung-pr42565873",
"40 m²",,,,"3,85 tỷ",,"Sổ đỏ/ Sổ hồng","2 phòng","2 phòng","2 tầng","https://batdongsan.com.vn/ban-nha-rieng-duong-huynh-tan-phat-thi-tran-nha-be/-so-hong-xay-dung-moi-100-hem-xe-3-gac-may-hem-1982-phat-pr42567570",
"60 m²",,,,"2,75 tỷ",,"Sổ đỏ/ Sổ hồng","2 phòng","1 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nghiem-xuan-yem-phuong-dai-kim-prj-khu-do-thi-kim-van-kim-lu-golden-silk/nhanh-con-cham-het-60m-so-gia-2-75-ty-tai-kdt-day-du-noi-that-pr42537495",
"95 m²",,,,"1,7 tỷ",,"Hợp đồng mua bán","2 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-huynh-tan-phat-xa-phu-xuan-prj-phu-my-thuan/ban-2398-nha-be-95-m2-2pn-2-wc-gia-1-72-ty-pr42567368",
"140 m²",,,"6,6 m","46 tỷ","Cơ bản","Sổ đỏ/ Sổ hồng",,"10 phòng","8 tầng","https://batdongsan.com.vn/ban-nha-mat-pho-duong-le-quang-dinh-phuong-14-7/ban-goc-3-tien-ham-8-tang-thu-p-hon-200-trieu-1-thang-pr42476626",
"168 m²",,,"8 m","3,34 tỷ","Không nội thất","Sổ đỏ/ Sổ hồng",,,"3 tầng","https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-vinh-tan-prj-sun-casa-central/ban-can-pho-3-g-tai-uyen-binh-duong-pr42567574","16 m"
"50 m²",,,"5,7 m","7,5 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng",,,"4 tầng","https://batdongsan.com.vn/ban-nha-rieng-duong-le-loi-1-phuong-quang-trung-17/ban-gap-ha-dong-50m-4-tang-gia-7-5-ty-o-kinh-doanh-full-noi-that-pr42567036",
"124 m²",,,"6,1 m","31 tỷ","Cơ bản","Sổ đỏ/ Sổ hồng","4 phòng","4 phòng","5 tầng","https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-khanh-toan-phuong-quan-hoa/hiem-phan-lo-o-to-gara-mt-6-1m-2-thoang-truoc-sau-ngo-118-cau-giay-pr42567575","4 m"
"200 m²","Đông","Tây",,"17 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","4 phòng","3 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-binh-trung-tay-prj-diamond-island/-duplex-200m2-gia-sieu-tot-ban-duplex-4pn-da-co-so-hong-ngay-dao-kim-cuong-quan-2-pr40572900",
"100 m²","Đông - Nam",,,"Thỏa thuận","Nhà nội thất đầy đủ.",,"2 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-trung-kinh-phuong-yen-hoa-2-prj-chelsea-park/ban-100m2-a-gia-3-1ty-lh-0984250719-pr21807181",
"88 m²",,,,"Thỏa thuận","Nội thất gồm: - 03 điều hòa. - tivi. - tủ lạnh. - máy giặt. - 02 tủ quần áo. - 02 giường. - sofa, bàn trà. - bàn ăn. - nóng lạnh. - tủ giày. - bếp từ. - rèm, giàn phơi...","Sổ đỏ/ Sổ hồng","3 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-to-huu-phuong-la-khe-prj-khu-do-thi-van-khe/ban-3-pn-2wc-s-103m2-gia-3-3x-ty-du-an-kdt-ha-dong-pr39587899",
"94 m²","Tây - Bắc","Đông - Nam",,"Thỏa thuận","Đầy đủ","Sổ đỏ/ Sổ hồng","3 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-vo-nguyen-giap-phuong-an-phu-prj-lumiere-riverside/chinh-chu-tien-ban-gap-3pn-view-song-re-nhat-thi-truong-tai-thao-dien-q2-pr42176053",
"108 m²",,,"4,5 m","26,5 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","5 phòng","5 phòng","3 tầng","https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-van-mai-phuong-vo-thi-sau/ban-tien-p-vts-quan-3-dt-4-5x24m-hdt-30tr-gia-26-5-ty-pr40325894","10 m"
"122 m²",,"Nam","5 m","2,95 tỷ",,"Sổ đỏ/ Sổ hồng.",,,,"https://batdongsan.com.vn/ban-dat-duong-bau-cau-9-xa-hoa-chau/ban-9-dt-122m2-gan-cho-khu-sam-uat-pr42517210","5,5 m"
"790 m²",,,"15 m","Thỏa thuận",,,,,,"https://batdongsan.com.vn/ban-dat-xa-yen-trung-3/790m-200m-tc-mt-15m-tai-mat-duong-chinh-rong-co-den-duong-tai-thach-that-doi-dien-la-canh-pr42567527",
"95 m²","Đông - Nam","Đông - Nam","5 m","Thỏa thuận","Cơ bản","Hợp đồng mua bán","4 phòng","5 phòng","5 tầng","https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-an-phu-prj-the-global-city/toi-chinh-chu-can-tien-ban-gap-can-pho-soho-cua-gia-ban-re-t-pr39029819","15 m"
"74 m²",,,,"Thỏa thuận","Đã được trang bị, sàn gỗ, sofa, điều hòa, tivi, tủ lạnh, giường các phòng, bàn ăn nhà bếp, tủ bếp, máy giặt, thiết bị vệ sinh, rèm cửa...",,"2 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-duy-hung-phuong-trung-hoa-4-prj-vinhomes-d-capitale/-ban-chcc-dcapitale-3-ngu-tang-28-du-do-view-gia-7-ty-lh-pr39833233",
"58,5 m²",,"Đông - Nam","4,5 m","8,2 tỷ",,,,,"5 tầng","https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-long-hung-prj-the-empire-vinhomes-ocean-park-2/-58-5m2-hoan-thien-5-tang-huong-dong-nam-so-do-cam-tay-gia-chi-8-2-ty-lh-pr42567579",
"125 m²","Đông - Nam","Tây - Bắc",,"Thỏa thuận","Đầy đủ","Sổ đỏ/ Sổ hồng","2 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-ton-duc-thang-phuong-ben-nghe-prj-grand-marina-saigon/toi-chinh-chu-tien-ban-gap-hang-hieu-marriott-quan-1-da-co-so-ng-pr40814567",
"70,7 m²",,,"5 m","6,38 tỷ","Cơ bản","Sổ đỏ/ Sổ hồng","3 phòng","2 phòng","2 tầng","https://batdongsan.com.vn/ban-nha-rieng-duong-go-dau-phuong-tan-quy-2/-dep-hem-xe-tai-phu-5-x-14-chi-6-x-ty-tl-pr42360763","8 m"
"45 m²",,,"3,5 m","22 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","5 phòng","4 phòng","5 tầng","https://batdongsan.com.vn/ban-nha-mat-pho-duong-truong-cong-giai-phuong-dich-vong/-cau-giay-kinh-doanh-dinh-via-he-rong-45m-5-tang-22-ty-pr42567378","6 m"
"102 m²","Đông - Nam",,,"6,8 tỷ","Đầy đủ điều hòa, tủ lạnh, giường.",,"3 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-tuan-phuong-thanh-xuan-trung-prj-goldseason/ban-47-102-m2-3-ngu-2-vs-full-do-bc-dong-nam-gia-6-9-ty-pr42527008",
"51,2 m²",,"Tây - Nam","5 m","4,2 tỷ","Cơ bản","Sổ đỏ/ Sổ hồng","3 phòng","3 phòng","4 tầng","https://batdongsan.com.vn/ban-nha-rieng-duong-de-po-phuong-tan-tien_1/chu-can-tien-ha-gia-200-trieu-3-g-o-to-phuoc-trang-pr41867422","4 m"
"104 m²","Đông - Nam","Tây - Bắc",,"6,4 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","3 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-huu-duc-phuong-cau-dien-prj-iris-garden/chuyen-cong-tac-toi-ban-104m2-o-du-do-tang-trung-bc-mat-lh-pr42549258",
"80 m²",,,,"1,75 tỷ",,,"2 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-le-van-chi_1-phuong-linh-trung-prj-depot-metro-tower/ro-hang-5-gia-tot-nhat-du-an-lh-094523400-pr38375618",
"117 m²",,,"9,54 m","49 triệu/m²",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-dat-duong-sap-mai-xa-vong-la/mo-ban-hang-fo-4x-gia-mem-nhat-khu-vuc-nong-bong-nhu-lua-oto-vao-cc-gui-em-dem-qua-117-met-x-pr42564299","4 m"
"154 m²","Tây - Bắc","Đông - Nam","7 m","23 tỷ",,"Sổ đỏ/ Sổ hồng","5 phòng","6 phòng","4 tầng","https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-hoang-huu-nam-phuong-long-binh-3-prj-the-9-stellars/son-kim-land-mo-ban-compound-ven-ho-9-ngay-metro-so-1-co-san-vuon-rieng-pr42389899","22 m"
"40 m²",,,,"1,35 tỷ","Full đồ.","Sổ đỏ/ Sổ hồng","1 phòng","1 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-ho-tung-mau-phuong-mai-dich/1-35-ty-so-do-chinh-chu-khau-cau-giay-mau-pr42566847",
"55 m²","Tây - Bắc","Đông - Nam",,"4,2 tỷ","Đầy đủ","Hợp đồng mua bán","1 phòng","1 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-phan-van-dang-phuong-thanh-my-loi-prj-vista-verde/-chi-4-15-ty-suat-spa-1pn-quan-2-tan-huong-bao-la-tien-ich-noi-ngoai-khu-pr42146085",
"81,58 m²","Tây - Nam","Tây - Nam",,"7,8 tỷ",,"Hợp đồng mua bán","2 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-luong-bang-1-phuong-tan-phu-19-prj-the-antonia/chinh-chu-ban-pmh-chi-7-8-ty-hinh-that-100-lh-mr-huan-pr42420135",
"70 m²",,,"5 m","5 tỷ","Không nội thất","Sổ đỏ/ Sổ hồng",,,"5 tầng","https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-duong-38-1-thi-tran-ho/ban-5-ty-70m2-mat-quoc-lo-38-thuan-thanh-bac-ninh-pr42567436","18 m"
"105 m²",,,"5 m","56 tỷ","Đầy đủ.","Sổ đỏ/ Sổ hồng","5 phòng","5 phòng","4 tầng","https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-trai-phuong-3-14/-tien-kinh-doan-p-3-quan-5-dt-5x21m-105m2-hdt-130tr-gia-56-9ty-pr40345966","20 m"
"80 m²","Đông - Nam","Đông - Nam","5 m","15,5 tỷ","Đầy đủ.","Hợp đồng mua bán","5 phòng","5 phòng","5 tầng","https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-phu-luong-3-prj-khu-do-thi-moi-phu-luong/can-ban-200m2-vi-tri-sieu-dep-gan-cong-vien-365-sat-duong-lon-30m-gia-cuc-tot-pr38954348","19 m"
"71 m²",,,"5,2 m","16,8 tỷ","Cơ bản","Sổ đỏ/ Sổ hồng","3 phòng","2 phòng","1 tầng","https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-cuu-van-phuong-17-1/mua-la-lai-ban-p-17-sat-q1-ngang-dep-5-2x14m-cn-du-71m2-ctxd-h-6t-pr41952655","20 m"
"90 m²","Tây - Nam","Tây - Nam","7,2 m","Thỏa thuận","Đầy đủ","Sổ đỏ/ Sổ hồng","6 phòng","5 phòng","4 tầng","https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-phu-luong-3-prj-khu-do-thi-moi-phu-luong/ban-mat-duong-30m-mat-tien-7-2m-sieu-hiem-gia-cuc-tot-hoan-thien-cao-cap-so-do-pr40721283","30 m"
"294 m²",,"Tây - Nam","10 m","25 triệu/m²",,"Sổ đỏ/ Sổ hồng.",,,,"https://batdongsan.com.vn/ban-dat-nen-du-an-phuong-dien-duong-prj-castia-palm-quang-nam/ban-gap-mat-song-o-kdt-ngoc-riverside-gia-cuc-chat-19-trieu-m2-pr41862611","20,5 m"
"290 m²",,,,"3,5 tỷ",,,,,,"https://batdongsan.com.vn/ban-dat-duong-huong-lo-12-xa-an-phuoc-3/b-tai-12-ng-thh-dong-nai-3-5-ty-290m2-pr42467524",
"56 m²",,,,"17 tỷ",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-trai-phuong-nguyen-cu-trinh/cuc-vip-hxh-nhua-8m-quan-1-5-2nhx18m-3-lau-st-gia-chi-17-ty-tl-hdt-35tr-pr42567585","8 m"
"80 m²","Đông - Nam","Đông - Nam","5 m","15,5 tỷ","Không nội thất","Hợp đồng mua bán","5 phòng","5 phòng","5 tầng","https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-phu-luong-3-prj-khu-do-thi-moi-phu-luong/ban-80m2-kdt-15-5-ty-gia-cuc-tot-chinh-chu-hang-hiem-pr42518119","12 m"
"50 m²",,,,"21 tỷ",,"Sổ đỏ/ Sổ hồng","5 phòng","5 phòng","4 tầng","https://batdongsan.com.vn/ban-nha-mat-pho-duong-pham-ngu-lao-phuong-pham-ngu-lao-1/-tien-nguyen-thi-minh-khai-quan-1-4mx15m-4-tang-hd-thue-60-trieu-thang-pr42567588",
"154 m²",,,"7 m","34 tỷ",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-quoc-lo-13-phuong-hiep-binh-phuoc-prj-khu-do-thi-van-phuc-city/chu-can-tien-ban-gap-pho-royal-re-hon-gia-truong-dau-tu-sinh-loi-pr42567589","25 m"
"92 m²",,,"4,6 m","9,75 tỷ",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-dat-duong-thanh-trung-thi-tran-trau-quy/ban-tang-nha-92m2-ngo-rong-cach-oto-tranh-20m-hang-xom-vin-1-va-twinpark-hai-buoc-ra-cho-pr42567384","2,8 m"
"60 m²","Đông - Nam","Tây - Bắc",,"Thỏa thuận","Full nội thất cao cấp.",,"2 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-xa-lo-ha-noi-phuong-phuoc-long-a-prj-metro-star/cap-nhat-ro-hang-ban-lai-25-gia-tot-lh-0945-234-008-toan-vo-pr27995705",
"107 m²","Đông - Nam","Tây - Bắc",,"Thỏa thuận",,,"3 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-pham-hung-phuong-me-tri-prj-keangnam-hanoi-landmark-tower/duy-nhat-107m2-tang-trung-tai-gia-cuc-re-lh-0986270564-pr37932351",
"89 m²",,"Tây - Nam","5,1 m","8,6 tỷ","- Nội thất: Full nội thất cao cấp gồm bộ bàn ghế sô pha, bộ bàn ăn, tủ bếp gõ đỏ, tủ quần áo, giường ngủ, kệ TV riêng từng phòng. Khách chỉ việc xách ba lô về ở.","Sổ hồng","4 phòng","5 phòng","5 tầng","https://batdongsan.com.vn/ban-nha-rieng-duong-8-2-phuong-hiep-binh-phuoc/-pho-4-tang-so-8-lien-ke-khu-hong-long-p-q-thu-duc-pr41193843","6 m"
"70 m²",,,"6 m","16,75 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","5 phòng",,"5 tầng","https://batdongsan.com.vn/ban-nha-mat-pho-pho-van-phuc-phuong-van-phuc-1/-dep-70m2-x-5-tang-mt-6m-kinh-doanh-dinh-cao-o-to-tranh-noi-that-xin-1x-ty-tl-pr42567591",
"100 m²",,,"5 m","5,7 tỷ",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-dat-duong-196-thi-tran-ban-yen-nhan/chinh-chu-manh-100m2-van-thuan-phat-xa-my-hao-hung-pr41862455","13 m"
"68 m²",,,"4 m","16,5 tỷ",,,,,,"https://batdongsan.com.vn/ban-nha-mat-pho-duong-go-dau-phuong-tan-quy-2/mtkd-vi-tri-cuc-dep-4mx17-5m-gia-16-5-ty-duc-3-5-tam-p-q-phu-pr37708918",
"86 m²",,,"8 m","9,6 tỷ",,"Sổ đỏ/ Sổ hồng","4 phòng","5 phòng","3 tầng","https://batdongsan.com.vn/ban-nha-rieng-duong-19-phuong-hiep-binh-chanh/-moi-19-sau-lung-sieu-thi-khu-ben-song-p-q-thu-duc-pr42436041","5 m"
"67 m²","Đông - Bắc","Đông - Bắc","5,1 m","9,7 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng.","4 phòng","3 phòng","3 tầng","https://batdongsan.com.vn/ban-nha-rieng-duong-so-9-phuong-16-3/chu-gui-can-9-16-go-vap-dien-tich-5-1x13-1-67m2-gia-ban-9-7-ty-tl-pr42429767","10 m"
"113,5 m²","Tây - Nam","Đông - Bắc",,"Thỏa thuận","Đầy đủ","Sổ đỏ/ Sổ hồng","3 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-xuan-la-prj-kdt-tay-ho-tay-starlake-ha-noi/chinh-chu-gui-ban-gap-2n-3n-stalake-lh-ngay-pr40061502",
"67 m²","Tây - Nam","Đông - Bắc",,"4,3 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","2 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-xien-xa-tan-trieu-prj-eco-green-city/ban-cc-dt-67m2-2pn-2vs-full-noi-that-ca-do-dien-tu-san-so-gia-chi-4-3-ty-pr42356212",
"54 m²",,,,"5,4 tỷ",,"Sổ đỏ/ Sổ hồng.","3 phòng","2 phòng","2 tầng","https://batdongsan.com.vn/ban-nha-rieng-duong-le-duc-tho-phuong-16-3/ban-hem-oto-16-go-vap-4-4x14-tret-lau-st-3pn-2wc-moi-xay-pr42539405",
"94 m²",,,,"19,6 tỷ","Cơ bản",,"2 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dai-lo-vong-cung-phuong-an-khanh-prj-the-crest-residence/ban-2pn-thu-hoi-von-lau-cao-view-song-q1-pr40791810",
"120 m²",,"Tây - Nam","5 m","2,5 tỷ",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-dat-nen-du-an-phuong-dien-duong-prj-castia-palm-quang-nam/b-qug-2-1-ty-120m2-view-dep-pr42302682","10,5 m"
"100 m²",,,"10 m","Thỏa thuận",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-dat-phuong-hiep-binh-chanh/chinh-chu-can-ban-gap-lo-tai-dien-tich-100m2-view-dep-chi-vs-1-7-ty-pr42464279","18 m"
